Validation_Set,Topics,Alpha,Beta,Coherence
100.0% Corpus,8,0.01,symmetric,0.4008887484434256
100.0% Corpus,8,0.31,0.01,0.40308266481409116
100.0% Corpus,8,0.31,0.31,0.398681461023093
100.0% Corpus,8,0.31,0.61,0.40977268362699637
100.0% Corpus,8,0.31,0.9099999999999999,0.3951985442450841
100.0% Corpus,8,0.31,symmetric,0.3970360604689309
100.0% Corpus,8,0.61,0.01,0.3874384573784565
100.0% Corpus,8,0.61,0.31,0.4000854024486348
100.0% Corpus,8,0.61,0.61,0.38327349328386784
100.0% Corpus,8,0.61,0.9099999999999999,0.3971426702412687
100.0% Corpus,8,0.61,symmetric,0.3776736388336309
100.0% Corpus,8,0.9099999999999999,0.01,0.37931139527567975
100.0% Corpus,8,0.9099999999999999,0.31,0.3733292334619621
100.0% Corpus,8,0.9099999999999999,0.61,0.37604187471590644
100.0% Corpus,8,0.9099999999999999,0.9099999999999999,0.36875462459317265
100.0% Corpus,8,0.9099999999999999,symmetric,0.38803220798618376
100.0% Corpus,8,symmetric,0.01,0.3956245622308101
100.0% Corpus,8,symmetric,0.31,0.392651407050287
100.0% Corpus,8,symmetric,0.61,0.41139718874036335
100.0% Corpus,8,symmetric,0.9099999999999999,0.38959583318041363
100.0% Corpus,8,symmetric,symmetric,0.4089179971015848
100.0% Corpus,8,asymmetric,0.01,0.356370036565288
100.0% Corpus,8,asymmetric,0.31,0.3532132381671836
100.0% Corpus,8,asymmetric,0.61,0.37017114697476405
100.0% Corpus,8,asymmetric,0.9099999999999999,0.3527155681703248
100.0% Corpus,8,asymmetric,symmetric,0.36687259455636834
100.0% Corpus,9,0.01,0.01,0.41802872397412316
100.0% Corpus,9,0.01,0.31,0.33563001103242923
100.0% Corpus,9,0.01,0.61,0.41869736067938734
100.0% Corpus,9,0.01,0.9099999999999999,0.4207256103637101
100.0% Corpus,9,0.01,symmetric,0.41766516496330186
100.0% Corpus,9,0.31,0.01,0.40130312890694253
100.0% Corpus,9,0.31,0.31,0.40280499228429906
100.0% Corpus,9,0.31,0.61,0.37174270582317054
100.0% Corpus,9,0.31,0.9099999999999999,0.4111867700455615
100.0% Corpus,9,0.31,symmetric,0.4064816564920294
100.0% Corpus,9,0.61,0.01,0.36898794923959466
100.0% Corpus,9,0.61,0.31,0.3746889926378121
100.0% Corpus,9,0.61,0.61,0.37940107882255786
100.0% Corpus,9,0.61,0.9099999999999999,0.35528177163736085
100.0% Corpus,9,0.61,symmetric,0.3493666777599242
100.0% Corpus,9,0.9099999999999999,0.01,0.3731812498296722
100.0% Corpus,9,0.9099999999999999,0.31,0.36446432306670185
100.0% Corpus,9,0.9099999999999999,0.61,0.35579900740391557
100.0% Corpus,9,0.9099999999999999,0.9099999999999999,0.3640189101031115
100.0% Corpus,9,0.9099999999999999,symmetric,0.3901804346504844
100.0% Corpus,9,symmetric,0.01,0.41294049386375803
100.0% Corpus,9,symmetric,0.31,0.4146546663935009
100.0% Corpus,9,symmetric,0.61,0.42079300315895946
100.0% Corpus,9,symmetric,0.9099999999999999,0.4257566741902807
100.0% Corpus,9,symmetric,symmetric,0.4200242435103271
100.0% Corpus,9,asymmetric,0.01,0.3596749593068631
100.0% Corpus,9,asymmetric,0.31,0.34961838810272766
100.0% Corpus,9,asymmetric,0.61,0.35575090796025866
100.0% Corpus,9,asymmetric,0.9099999999999999,0.3806983099394279
100.0% Corpus,9,asymmetric,symmetric,0.36331303979031226
100.0% Corpus,10,0.01,0.01,0.404681326900507
100.0% Corpus,10,0.01,0.31,0.41724618521517637
100.0% Corpus,10,0.01,0.61,0.4121530552593984
100.0% Corpus,10,0.01,0.9099999999999999,0.43370453117441965
100.0% Corpus,10,0.01,symmetric,0.3826987019052324
100.0% Corpus,10,0.31,0.01,0.4325830470842851
100.0% Corpus,10,0.31,0.31,0.4250629172880778
100.0% Corpus,10,0.31,0.61,0.4099639245966037
100.0% Corpus,10,0.31,0.9099999999999999,0.4238253956513267
100.0% Corpus,10,0.31,symmetric,0.42223290806390856
100.0% Corpus,10,0.61,0.01,0.3831875271633132
100.0% Corpus,10,0.61,0.31,0.386350537934413
100.0% Corpus,10,0.61,0.61,0.4171228049634589
100.0% Corpus,10,0.61,0.9099999999999999,0.4312623876836071
100.0% Corpus,10,0.61,symmetric,0.4197168706939135
100.0% Corpus,10,0.9099999999999999,0.01,0.3703397759905216
100.0% Corpus,10,0.9099999999999999,0.31,0.36878830179843
100.0% Corpus,10,0.9099999999999999,0.61,0.3668755117923125
100.0% Corpus,10,0.9099999999999999,0.9099999999999999,0.39341001000233916
100.0% Corpus,10,0.9099999999999999,symmetric,0.3854443930686742
100.0% Corpus,10,symmetric,0.01,0.41679437332925096
100.0% Corpus,10,symmetric,0.31,0.4169814139261323
100.0% Corpus,10,symmetric,0.61,0.42126034240872795
100.0% Corpus,10,symmetric,0.9099999999999999,0.414090900795068
100.0% Corpus,10,symmetric,symmetric,0.4109754928781285
100.0% Corpus,10,asymmetric,0.01,0.41635643497133834
100.0% Corpus,10,asymmetric,0.31,0.40957708817024574
100.0% Corpus,10,asymmetric,0.61,0.41793235554835045
100.0% Corpus,10,asymmetric,0.9099999999999999,0.41933325406981165
100.0% Corpus,10,asymmetric,symmetric,0.40750727653055707
